Loan ID,Customer ID,Current Loan Amount($),Term,Annual Income($),Years in current job,Home Ownership,Purpose,Monthly Debt($),Current Credit Balance($),Maximum Open Credit($),Bankruptcies,Loan/Income Ratio,Monthly_debt/Income ratio,Credit/Income Ratio,Credit lef($)
f738779f,ded0b3c3,60000.0,Short Term,210000.0,10+ years,Mortgage,Debt Consolidation,4200.0,60000.0,110000.00000000001,0.0,0.29,0.24,0.52,50000.0
6dcc0947,1630e6e3,30000.0,Short Term,190000.0,10+ years,Mortgage,Debt Consolidation,3700.0,70000.0,90000.0,0.0,0.16,0.23,0.47,20000.0
f7744d01,2c60938b,20000.0,Short Term,90000.0,2 years,Rent,Debt Consolidation,800.0,0.0,40000.0,0.0,0.22,0.11,0.44,40000.0
83721ffb,12116614,20000.0,Short Term,80000.0,10+ years,Rent,Debt Consolidation,1700.0000000000002,20000.0,50000.0,1.0,0.25,0.26,0.62,30000.0
08f3789f,39888105,30000.0,Short Term,180000.0,10+ years,Mortgage,Debt Consolidation,3900.0,40000.0,50000.0,0.0,0.17,0.26,0.28,10000.0
a4957169,6878d414,20000.0,Short Term,80000.0,1 year,Rent,Debt Consolidation,700.0,30000.0,50000.0,0.0,0.25,0.1,0.62,20000.0
43467302,48113a98,60000.0,Long Term,180000.0,10+ years,Mortgage,Debt Consolidation,3700.0,30000.0,140000.0,0.0,0.33,0.25,0.78,110000.0
0b2f1b66,6a1adeda,20000.0,Short Term,110000.00000000001,5 years,Rent,Debt Consolidation,1900.0,0.0,0.0,0.0,0.18,0.21,0.0,0.0
d08f3a5e,4080a828,30000.0,Long Term,200000.0,2 years,Rent,Debt Consolidation,1200.0,0.0,30000.0,2.0,0.15,0.07,0.15,30000.0
663ad9a3,8ec9f388,30000.0,Short Term,130000.0,7 years,Rent,Debt Consolidation,600.0,10000.0,30000.0,0.0,0.23,0.06,0.23,20000.0
1e277d73,db6fb330,20000.0,Short Term,50000.0,7 years,Rent,Other,600.0,20000.0,40000.0,0.0,0.4,0.14,0.8,20000.0
a913063f,4f8389cd,20000.0,Short Term,70000.0,3 years,Mortgage,Debt Consolidation,1799.9999999999998,40000.0,100000.0,0.0,0.29,0.31,1.43,60000.0
e326b52a,8c49e3f3,30000.0,Short Term,120000.0,6 years,Rent,Debt Consolidation,2200.0,20000.0,30000.0,0.0,0.25,0.22,0.25,10000.0
add946a5,163b8125,20000.0,Short Term,110000.00000000001,3 years,Own Home,Home Improvements,1900.0,20000.0,50000.0,0.0,0.18,0.21,0.45,30000.0
ebefe6f6,bd73b695,30000.0,Short Term,220000.00000000003,2 years,Mortgage,Debt Consolidation,2400.0,70000.0,130000.0,0.0,0.14,0.13,0.59,60000.0
82bf9406,63e691e6,20000.0,Long Term,70000.0,10+ years,Mortgage,Debt Consolidation,1900.0,30000.0,60000.0,0.0,0.29,0.33,0.86,30000.0
5dfdc862,61d66434,30000.0,Short Term,100000.0,10+ years,Mortgage,Debt Consolidation,1700.0000000000002,30000.0,80000.0,0.0,0.3,0.2,0.8,50000.0
c5dca97f,85e3fb12,20000.0,Short Term,70000.0,6 years,Own Home,Debt Consolidation,899.9999999999999,10000.0,20000.0,0.0,0.29,0.15,0.29,10000.0
0905734d,c97bf871,20000.0,Long Term,100000.0,4 years,Mortgage,Debt Consolidation,600.0,10000.0,30000.0,1.0,0.2,0.07,0.3,20000.0
ac8e5698,9a561b03,10000.0,Short Term,70000.0,4 years,Rent,Business Loan,2000.0,20000.0,30000.0,0.0,0.14,0.34,0.43,10000.0
af0a5a13,322fdfe1,40000.0,Short Term,210000.0,10+ years,Mortgage,Debt Consolidation,2800.0,20000.0,20000.0,0.0,0.19,0.16,0.1,0.0
65d23a2f,6866ead5,40000.0,Short Term,100000.0,10+ years,Rent,Debt Consolidation,1300.0,40000.0,60000.0,0.0,0.4,0.16,0.6,20000.0
f95c766b,481df4a0,30000.0,Long Term,110000.00000000001,1 year,Rent,Debt Consolidation,1500.0,30000.0,40000.0,0.0,0.27,0.16,0.36,10000.0
cc43b784,54459ce0,80000.0,Long Term,600000.0,3 years,Rent,small_business,6100.0,50000.0,150000.0,0.0,0.13,0.12,0.25,100000.0
f8fa11bd,ab86ebb2,50000.0,Long Term,180000.0,8 years,Rent,Other,600.0,20000.0,80000.0,1.0,0.28,0.04,0.44,60000.0
875c3df0,1b233b3a,20000.0,Short Term,130000.0,,Rent,Debt Consolidation,2200.0,50000.0,60000.0,0.0,0.15,0.2,0.46,10000.0
769e4e52,401b284d,60000.0,Short Term,130000.0,9 years,Rent,Other,800.0,0.0,30000.0,0.0,0.46,0.07,0.23,30000.0
41e8f5a6,3c6cdac9,40000.0,Short Term,150000.0,10+ years,Rent,Debt Consolidation,2800.0,40000.0,80000.0,0.0,0.27,0.22,0.53,40000.0
c3552bfe,b171374b,30000.0,Short Term,60000.0,10+ years,Rent,Debt Consolidation,600.0,20000.0,60000.0,0.0,0.5,0.12,1.0,40000.0
628dd91e,cef6a8aa,30000.0,Short Term,90000.0,7 years,Rent,Debt Consolidation,899.9999999999999,10000.0,20000.0,0.0,0.33,0.12,0.22,10000.0
2f5d0697,6bdae209,40000.0,Short Term,120000.0,10+ years,Rent,Debt Consolidation,1500.0,30000.0,80000.0,0.0,0.33,0.15,0.67,50000.0
8ab9234f,5ef6d424,70000.0,Long Term,250000.0,9 years,Mortgage,Other,1500.0,10000.0,20000.0,0.0,0.28,0.07,0.08,10000.0
42a25517,395a76dd,50000.0,Long Term,180000.0,2 years,Mortgage,Debt Consolidation,2400.0,10000.0,40000.0,1.0,0.28,0.16,0.22,30000.0
443bcf4c,5b064f68,30000.0,Long Term,70000.0,1 year,Rent,Debt Consolidation,1600.0,10000.0,60000.0,0.0,0.43,0.27,0.86,50000.0
a58abd00,da4fd425,50000.0,Long Term,100000.0,5 years,Mortgage,Debt Consolidation,2200.0,20000.0,40000.0,0.0,0.5,0.26,0.4,20000.0
