Current Loan Amount($),Monthly Debt($),N_loans,Weight in portfolio(%)
35726,1532,117,1.699099622422306
29215,1625,51,0.7406331687481847
19318,1148,88,1.2779552715654952
32598,1912,5399,78.40546035434214
12500,808,12,0.17426662794074935
30806,1847,409,5.93958756898054
17415,1701,89,1.2924774905605576
21215,1658,617,8.960209119953529
16428,1703,28,0.4066221318617485
29722,1158,36,0.5227998838222481
21250,1400,8,0.11617775196049956
30000,1500,1,0.014522218995062446
38636,1990,22,0.3194888178913738
26666,2100,3,0.04356665698518734
28333,2083,6,0.08713331397037467
